,hhid,hhwgt,urban,inc_employ,inc_commerce,inc_subsist,inc_remit,inc_transfer,inc_gift,inc_rent,inc_total,food_cons,total_cons,poor_nat,poor_190,poor_320,poor_550,dep_water,dep_san,dep_ele,dep_enroll,dep_attain,hhsize,number_of_children,pcexp,pcinc,ispoor,hoh_mainactivity,hoh_education,hhinc_mainsource_all,hhinc_mainsource_wage_other,inc_nonwage,pcwgt,pov_line
40,00-61-81-04,77.03282928466797,1,0.0,0.0,211.6693572998047,1628.225830078125,1831.754150390625,359.8379211425781,4374.248046875,8405.7353515625,1992.0201416015625,6014.90234375,0,0,0,0,0,0,0,0,0,2,0,3007.451171875,4202.86767578125,0,Not working,Primary completion and below,inc_rent,other,8405.735305786133,154.06565856933594,2179
41,00-62-36-47,114.73822021484375,0,0.0,5873.9033203125,0.0,0.0,6001.98779296875,0.0,778.9295043945312,12654.8212890625,386.47021484375,2267.771240234375,1,1,1,1,0,1,0,0,0,4,2,566.9428100585938,3163.705322265625,0,Self employment/subsistence,At least some secondary completion,inc_transfer,other,12654.820617675781,458.952880859375,2179
42,00-65-33-08,104.06304931640625,1,7537.369140625,0.0,0.0,8509.6904296875,952.8455810546875,0.0,2109.681396484375,19109.5859375,2809.86083984375,7509.70947265625,0,0,0,0,0,0,0,0,0,3,1,2503.2364908854165,6369.861979166667,0,Wage employment,Primary completion and below,inc_remit,other,11572.217407226562,312.18914794921875,2179
43,00-65-65-86,185.25711059570312,0,0.0,0.0,228.92591857910156,2634.7822265625,4058.23193359375,260.14306640625,1713.013671875,8895.0966796875,1909.4501953125,5741.4326171875,1,0,1,1,0,0,0,0,0,6,4,956.9054361979166,1482.51611328125,1,Not working,Primary completion and below,inc_transfer,other,8895.096817016602,1111.5426635742188,2179
44,00-67-12-41,71.02141571044922,0,0.0,18043.25390625,1751.6300048828125,600.3301391601562,0.0,260.14306640625,2284.64013671875,22939.998046875,3215.0732421875,7176.08984375,0,0,0,0,0,0,0,0,0,2,0,3588.044921875,11469.9990234375,0,Self employment/subsistence,At least some secondary completion,inc_commerce,other,22939.99725341797,142.04283142089844,2179
45,00-67-88-46,160.45257568359375,0,14046.93359375,6318.310546875,3066.91357421875,0.0,2599.583251953125,1566.2330322265625,4493.7998046875,32091.771484375,6000.61572265625,13742.9287109375,0,0,0,0,0,0,0,0,0,5,1,2748.5857421875,6418.354296875,0,Self employment/subsistence,At least some secondary completion,inc_employ,inc_employ,18044.840209960938,802.2628784179688,2179
46,00-68-65-56,225.2230987548828,1,68122.2890625,0.0,0.0,778.7177124023438,373.78448486328125,0.0,6079.171875,75353.953125,9439.1796875,22503.8125,0,0,0,0,0,0,0,0,0,4,0,5625.953125,18838.48828125,0,Not working,Primary completion and below,inc_employ,inc_employ,7231.674072265625,900.8923950195312,2179
47,00-69-68-90,31.472166061401367,1,0.0,16.80957794189453,0.0,1479.2430419921875,0.0,398.37017822265625,1115.675537109375,3010.09814453125,1542.5645751953125,3485.48583984375,0,0,0,0,0,0,0,0,1,1,0,3485.48583984375,3010.09814453125,0,Not working,Primary completion and below,inc_remit,other,3010.0983352661133,31.472166061401367,2179
48,00-72-97-36,116.11750793457031,1,51334.5703125,0.0,0.0,0.0,0.0,0.0,0.0,51334.5703125,6276.95556640625,16550.669921875,0,0,0,0,0,0,0,0,0,3,1,5516.889973958333,17111.5234375,0,Wage employment,Post-secondary/tertiary and above,inc_employ,inc_employ,0.0,348.35252380371094,2179
49,00-73-41-41,153.167236328125,0,5178.76806640625,7794.1318359375,0.0,0.0,1063.2735595703125,0.0,716.0690307617188,14752.2421875,1389.7611083984375,3775.54052734375,1,0,1,1,0,0,0,0,0,5,2,755.10810546875,2950.4484375,0,Self employment/subsistence,At least some secondary completion,inc_commerce,other,9573.474426269531,765.836181640625,2179
50,00-75-09-12,96.82711029052734,0,0.0,8804.482421875,3127.275390625,0.0,1128.2247314453125,104.24251556396484,1309.7108154296875,14473.9365234375,925.673583984375,7656.52587890625,0,0,0,0,0,0,0,0,0,3,1,2552.17529296875,4824.6455078125,0,Self employment/subsistence,At least some secondary completion,inc_commerce,other,14473.935874938965,290.48133087158203,2179
51,00-76-74-72,76.72998809814453,0,1042.425048828125,0.0,0.0,0.0,88.20520782470703,0.0,960.651123046875,2091.281494140625,347.5445556640625,2019.69921875,1,0,1,1,0,0,0,0,1,2,0,1009.849609375,1045.6407470703125,1,Wage employment,Primary completion and below,inc_employ,inc_employ,1048.856330871582,153.45997619628906,2179
52,00-77-72-14,144.44200134277344,1,0.0,32609.095703125,0.0,0.0,574.3461303710938,0.0,4260.48486328125,37443.9296875,4771.5302734375,12403.1025390625,0,0,0,0,0,0,0,0,0,4,2,3100.775634765625,9360.982421875,0,Wage employment,Post-secondary/tertiary and above,inc_commerce,other,37443.926696777344,577.7680053710938,2179
53,00-78-96-89,415.1357727050781,1,15152.6015625,4244.01123046875,0.0,1183.6507568359375,5112.28173828125,0.0,3959.99365234375,29652.537109375,4888.619140625,15596.7734375,1,0,0,1,0,0,0,0,0,11,5,1417.8884943181818,2695.6851917613635,0,Not working,At least some secondary completion,inc_employ,inc_employ,14499.937377929688,4566.493499755859,2179
54,00-79-15-84,214.10891723632812,0,17522.912109375,0.0,261.181640625,0.0,515.0574951171875,593.5946044921875,1028.40771484375,19921.154296875,3942.1806640625,10079.1376953125,0,0,0,1,0,0,0,0,0,6,4,1679.8562825520833,3320.1923828125,0,Self employment/subsistence,At least some secondary completion,inc_employ,inc_employ,2398.241455078125,1284.6535034179688,2179
55,00-79-37-43,123.15886688232422,1,0.0,0.0,338.7130126953125,2017.1494140625,5698.44677734375,0.0,2231.24853515625,10285.5576171875,4425.77685546875,10677.0478515625,0,0,0,0,0,0,0,0,0,5,2,2135.4095703125,2057.1115234375,1,Not working,At least some secondary completion,inc_transfer,other,10285.557739257812,615.7943344116211,2179
56,00-81-15-52,222.83876037597656,1,13184.4970703125,0.0,0.0,0.0,339.2001647949219,0.0,6358.7490234375,19882.4453125,4043.413330078125,11660.7158203125,0,0,0,1,0,0,0,0,0,6,3,1943.45263671875,3313.7408854166665,0,Self employment/subsistence,Primary completion and below,inc_employ,inc_employ,6697.949188232422,1337.0325622558594,2179
